风速(m/s),风向,室外温度,电网有功功率
0.01,-15.29,19.4,0
0.01,7.09,17.58,0
0.01,-9.8,15.59,0
0.11,26.67,14.06,0
0.43,34.19,13.5,0
1.7,40.77,13.45,0
0.94,41.36,13.47,0
4.04,9.99,13.66,231.34
5.92,0.48,13.75,651.01
5.78,1.3,13.83,707.88
6.14,4.01,13.96,769.35
6.32,3.46,13.96,749.22
5.68,-1.8,14.14,724.37
5.54,-2.19,14.02,598.64
5.89,3.46,14.04,630.18
5.83,-4.8,14.3,759.09
6.11,-0.42,13.82,783.23
6.66,1.53,13.97,922.7
7.48,3.94,13.92,"1,180.71"
7.01,3.93,13.87,944.04
5.93,-2.26,14.04,852.49
6.21,-2.62,13.9,839.13
6.16,-5.75,13.97,780.27
4.94,1.53,14.07,379.52
4.57,2.07,13.89,312.14
4.24,1.44,14.01,248.46
4.19,-1.94,13.86,272.51
4.37,0.69,13.72,259.64
4.27,-0.65,13.72,215.33
4.84,0.43,13.87,347.89
4.97,0.33,13.85,414.59
4.88,1.82,13.81,436.45
5.15,2.69,13.96,418.35
7.52,3.35,14.1,"1,267.31"
7.42,-1.08,14.26,"1,379.64"
7.93,-2.11,14.4,"1,694.94"
7.78,1.05,14.52,"1,615.92"
7.41,-0.59,14.37,"1,440.70"
7.89,-3.18,14.45,"1,776.94"
7.91,1.66,14.29,"1,658.82"
6.97,-0.99,14.25,"1,168.64"
6.23,-2.59,14.34,863.86
5.59,-4.15,14.1,577.27
5.1,-6.23,13.87,423.93
5.32,0.11,13.94,399.83
5.03,3.16,14.07,440.73
4.97,0.74,14.1,407.48
4.66,0.29,13.97,333.03
4.1,-0.88,14.04,227.36
4.4,6.21,13.94,265.55
5.2,-1.01,13.76,460.28
5.65,-4.91,13.95,664.3
6,-2.02,13.92,703.04
6.37,-6.17,13.82,851.14
6.1,10.28,13.73,615.6
4.68,-2.17,14.18,356.96
5.4,0.27,13.87,476.81
6.28,-6.04,13.78,904.33
7.11,-3.76,13.43,"1,245.22"
6.87,-0.45,13.37,"1,151.26"
6.79,3.84,13.38,"1,006.53"
6.77,-3.9,13.47,"1,069.02"
7.16,3.57,13.26,"1,160.73"
7.12,0.84,13.31,"1,222.74"
7.04,-2.16,13.59,"1,171.82"
7.92,1.12,13.28,"1,696.75"
8.37,2.58,12.93,"1,840.76"
8.2,4,12.9,"1,700.41"
7.54,6.3,13.06,"1,126.86"
8.48,-2.12,13.04,"2,083.08"
8.82,-4.98,13.1,"2,377.64"
9.27,0.57,13.22,"2,560.31"
7.74,5.82,12.92,"1,591.27"
7.47,2.19,12.95,"1,507.27"
7.69,2.71,13.05,"1,596.55"
8.67,3.25,13.01,"2,008.91"
9.35,5.27,12.94,"2,337.65"
8.9,-1.97,12.96,"2,353.29"
8.6,-7.6,12.88,"2,353.61"
8.84,-7.17,13.02,"2,366.82"
8.84,-5.12,12.88,"2,294.73"
7.85,-6.87,12.79,"1,506.68"
8.17,-1.71,13.15,"1,850.15"
7.91,4.92,12.78,"1,594.55"
7.08,-1.97,12.72,"1,457.54"
7.35,4.5,12.8,"1,250.18"
6.97,-2.31,13,"1,395.11"
7.17,-7.19,13,"1,568.34"
8.31,4.53,13.16,"1,768.63"
7.68,-1.91,13.43,"1,671.39"
8.53,5.07,13.66,"1,917.81"
7.43,-0.59,13.7,"1,591.47"
7.61,7.05,13.82,"1,411.23"
6.59,-8.69,13.97,912.3
7.21,-3.19,13.59,"1,326.10"
7.21,0.4,15.15,"1,396.46"
7.68,3.08,15.72,"1,503.57"
7.11,3.22,15.89,"1,170.50"
6.73,-4.34,15.51,"1,103.45"
6.31,-6.11,15.68,934.07
6.51,-4.92,16.58,965.82
6.77,-3.39,16.82,"1,119.90"
6.08,-5.59,17,866.29
