风速(m/s),风向,室外温度,电网有功功率
5.26,-144.6,18.9,0
5.44,-132.33,18.93,0
5.58,-129.68,18.94,0
6.3,-131.44,18.8,0
6.95,-139.9,18.62,0
7.26,-135.93,18.63,0
7.61,-140.89,18.34,0
7.93,-146.93,17.41,0
7.8,-140.28,17.34,0
8.15,-143.75,17.23,0
8.04,-142.04,17.11,0
8.18,-139.58,17.14,0
8.27,-134.03,17.12,0
7.75,-128.15,17.17,0
7.22,-117.69,17.21,0
5.37,-120.23,17.36,0
4.89,-121.78,17.86,0
5.19,-113.67,18.64,0
5.06,-110.12,18.67,0
4.78,-114.31,18.72,0
6.26,-93.79,18.93,0
5.67,-102.93,18.96,0
5.86,-113.07,19,0
8.73,-86.3,19.42,0
9.25,-88.07,19.66,0
9.14,-86.18,19.76,0
8.56,-85.69,19.77,0
9.19,-75.75,19.72,0
9.52,-74.18,19.64,0
9.3,-77.01,19.6,0
8.89,-76.13,19.5,0
9.34,-73.39,19.45,0
9.18,-70.25,19.37,0
8.41,-67.28,19.37,0
8.95,-66.74,19.41,0
9.1,-63.88,19.41,0
7.94,-72.64,19.42,0
7.78,-72.08,19.45,0
7.06,-81.33,19.43,0
6.54,-76.66,19.45,0
7.33,-69.83,19.42,0
7.17,-78.06,19.45,0
6.6,-78.73,19.45,0
7.09,-71.35,19.43,0
7.47,-70.62,19.48,0
7.77,-65.16,19.42,0
8.39,-62.49,19.43,0
9.8,-61.56,19.32,0
9.6,-63.99,19.29,0
9.27,-64.51,19.27,0
9.1,-69.62,19.25,0
9.13,-71.59,19.3,0
9.46,-69.85,19.3,0
8.65,-72.87,19.38,0
8.28,-75.39,19.43,0
7.86,-73.64,19.4,0
8.08,-81.62,19.39,0
7.53,-72.47,19.35,0
7.97,-86.81,19.36,0
7.88,-85.09,19.35,0
7.24,-82.33,19.33,0
7.23,-88,19.29,0
6.86,-87.94,19.29,0
7.03,-86.55,19.3,0
6.95,-86.29,19.32,0
7.41,-87.43,19.27,0
7.24,-88.46,19.27,0
7.11,-88.28,19.21,0
6.7,-85.78,19.23,0
6.62,-83.55,19.3,0
6.11,-82.51,19.27,0
6.2,-82.23,19.31,0
6.22,-83.29,19.34,0
6.01,-82.65,19.39,0
5.27,-81.48,19.41,0
6.54,-77.25,19.51,0
7.32,-76.6,19.51,0
6.8,-81.19,19.54,0
7.34,-80.7,19.54,0
7.07,-80.05,19.6,0
7.45,-82.96,19.6,0
6.85,-79.88,19.6,0
5.81,-84.77,19.64,0
7.54,-79.29,19.7,0
7.19,-77.5,19.7,0
7.34,-75.66,19.7,0
8.38,-71.84,19.68,0
7.91,-79.1,19.7,0
7.58,-80.74,19.7,0
7.99,-77.6,19.71,0
8.53,-77.5,19.7,0
7.8,-78.55,19.71,0
8.24,-72.6,19.74,0
8.39,-68.33,19.73,0
8.48,-70.02,19.74,0
8.12,-74.35,19.76,0
8.01,-76.07,19.79,0
8.3,-65.38,19.78,0
8.51,-66.93,19.78,0
8.1,-64.95,19.8,0
8.34,-64.73,19.81,0
8.31,-65.19,19.81,0
8.45,-70.1,19.8,0
8.64,-66.5,19.78,0
8.61,-64.71,19.79,0
8.88,-60.54,19.81,0
8.68,-63.08,19.78,0
8.8,-64.05,19.75,0
8.57,-69.15,19.72,0
8.7,-67.3,19.74,0
8.56,-63.97,19.75,0
9.81,-68.13,19.71,0
10.07,-67.73,19.7,0
10.11,-70.63,19.63,0
10.2,-75.23,19.6,0
9.79,-74.84,19.58,0
9.96,-72.26,19.51,0
9.95,-73.29,19.49,0
9.44,-67.32,19.51,0
9.95,-69.46,19.49,0
10.2,-73.55,19.44,0
9.52,-72.38,19.4,0
9,-69.66,19.34,0
9.92,-71.46,19.25,0
10.71,-64.69,19.16,0
11.08,-61.16,19.13,0
11.29,-63.22,19.14,0
11.67,-64.18,19.08,0
10.69,-64.56,19.08,0
10.09,-60.73,19.05,0
9.95,-64.49,19,0
9.75,-67.07,18.98,0
10.44,-67.42,18.95,0
11.39,-67.93,18.92,0
10.75,-68.87,18.95,0
10.96,-73.64,18.94,0
11.08,-64.73,19,0
11,-67.1,19.04,0
11.71,-68.13,19.05,0
11.91,-71.56,19.18,0
11.33,-67.92,19.28,0
10.75,-69.97,19.3,0
11.79,-64.28,19.29,0
12.63,-64.98,19.39,0
11.9,-68.96,19.38,0
11.85,-73.18,19.5,0
11.74,-72.15,19.68,0
10.94,-73.7,19.6,0
10.77,-77.24,19.55,0
10.29,-73.92,19.55,0
10.49,-69.76,19.53,0
9.87,-70.57,19.53,0
9.28,-65.12,19.58,0
9.56,-63.75,19.6,0
9.75,-62.92,19.63,0
9.89,-62.38,19.72,0
9.63,-61.95,19.77,0
9.54,-60.32,19.79,0
8.81,-65.1,19.93,0
8.73,-62.48,20.08,0
8.53,-65.42,20.05,0
8.63,-61.08,20.05,0
9.41,-58.68,20.12,0
9.95,-57.81,20.12,0
9.94,-59.08,20.2,0
10.16,-57.41,20.1,0
11.02,-56.52,20.02,0
11.25,-56.5,19.98,0
11.1,-56.48,19.99,0
11.54,-57.01,20.08,0
11.9,-57.17,20,0
12.53,-58.17,19.93,0
12.53,-58.05,19.89,0
12.52,-57.55,19.9,0
12.2,-58.05,19.97,0
11.4,-59.47,19.97,0
11.16,-59.08,19.97,0
10.49,-59.85,20.06,0
10.75,-60.3,20.13,0
10.91,-59.1,20.13,0
10.51,-58.8,20.11,0
9.63,-60.47,20.21,0
9.68,-61.24,20.25,0
9.73,-61.41,20.27,0
10.15,-62.37,20.29,0
10.06,-59.91,20.32,0
10.29,-57.79,20.29,0
9.84,-58.67,20.29,0
9.94,-57.38,20.3,0
9.79,-57.5,20.3,0
9.31,-56.16,20.35,0
9.67,-57.67,20.4,0
10.22,-56.88,20.35,0
10.49,-56.74,20.46,0
10.7,-56.22,20.46,0
11.18,-56.86,20.36,0
11.24,-57.04,20.31,0
11.36,-57.24,20.35,0
11.17,-56.55,20.46,0
11.48,-55.77,20.51,0
11.82,-54.27,20.42,0
11.44,-54.53,20.46,0
11.2,-54.15,20.41,0
10.65,-54.25,20.41,0
10.48,-54.6,20.39,0
10.32,-56.2,20.26,0
10.61,-56,20.22,0
10.89,-55.19,20.16,0
10.88,-55.67,20.09,0
10.22,-55.58,20.09,0
11.42,-55.06,20.07,0
11.45,-55.25,20.02,0
11.05,-54.31,20.02,0
11.16,-54.32,20,0
11.27,-55.07,20.02,0
11.65,-55.95,20.04,0
12.41,-56.07,20.02,0
12.47,-55.84,20.04,0
11.89,-55.13,20.07,0
11.35,-56.46,20.1,0
12.32,-56.49,20.06,0
12.16,-56.46,20.04,0
11.18,-56.42,20.06,0
10.78,-57.22,20.01,0
11.26,-57.92,20.05,0
11.83,-57.62,20.03,0
12.13,-57.07,20.07,0
12.27,-57.12,20.05,0
12.35,-57.37,20,0
12.14,-58.94,20.09,0
13.02,-59.76,20.11,0
12.69,-57.84,20.14,0
12.39,-57.6,20.17,0
11.8,-57.92,20.14,0
11.31,-58.99,20.15,0
11.08,-59.88,20.15,0
11.25,-60.6,20.2,0
11.11,-62.21,20.2,0
11.83,-59.19,20.32,0
11.35,-59.9,20.34,0
11.76,-59.23,20.29,0
10.66,-60.43,20.29,0
10.9,-59.88,20.23,0
12.58,-58.26,20.25,0
12.34,-57,20.28,0
12.22,-55.29,20.28,0
12.33,-55.33,20.23,0
12.46,-56.36,20.21,0
12.06,-56.87,20.21,0
12.1,-55.82,20.23,0
11.63,-56.64,20.24,0
11.84,-58.2,20.19,0
11.45,-64.18,20.09,0
11.62,-64.53,20.01,0
11.24,-65.64,20,0
11.06,-63.71,19.92,0
11.6,-67.14,19.92,0
11.63,-66.58,19.87,0
11.54,-66.87,19.89,0
10.1,-71.02,19.89,0
10.3,-72.63,19.86,0
10.58,-67.95,19.8,0
10.49,-66.63,19.8,0
10.82,-70.53,19.8,0
11.09,-65.02,19.8,0
10.77,-63.88,19.75,0
10.2,-66.72,19.71,0
11.59,-68.93,19.62,0
11.35,-69.14,19.6,0
11.67,-66.18,19.61,0
10.92,-65.82,19.62,0
11.2,-62.03,19.61,0
10.79,-58.28,19.67,0
10.25,-58.93,19.69,0
10.91,-58.67,19.7,0
10.46,-60.52,19.71,0
11.58,-61.32,19.74,0
10.24,-63.97,19.75,0
11.15,-64.55,19.68,0
11.4,-66.5,19.65,0
10.93,-70.83,19.61,0
11.43,-66.15,19.61,0
12.09,-68.92,19.61,0
11.49,-67.82,19.71,0
11.36,-70.56,19.74,0
11.5,-66.88,19.72,0
11.51,-66.41,19.73,0
11.91,-71.4,19.9,0
12.1,-74.16,19.96,0
9.77,-72.03,20.06,0
10.43,-68.59,20.14,0
10.66,-70.9,20.2,0
10.32,-81.28,20.27,0
10.14,-73.16,20.29,0
9.81,-80.72,20.37,0
8.81,-87.7,20.47,0
8.7,-85.78,20.57,0
7.23,-86.63,20.59,0
7.16,-91.13,20.84,0
7.3,-86.62,20.89,0
6.32,-83.96,20.96,0
6.5,-85.2,21.04,0
7.09,-90.83,21.17,0
6.54,-95.34,21.2,0
6.68,-83.66,21.23,0
6.5,-81.17,21.31,0
6.11,-70.32,21.28,0
6.52,-68.25,21.27,0
6.62,-68.42,21.31,0
5.97,-68.96,21.46,0
5.9,-69.77,21.48,0
5.55,-69.75,21.63,0
5.12,-59.57,21.56,0
5.95,-56.79,21.4,0
5.85,-56.64,21.34,0
5.49,-55.49,21.45,0
5.57,-56.14,21.35,0
5.67,-54.73,21.35,0
5.41,-53.42,21.48,0
5.74,-54.22,21.44,0
5.86,-54.3,21.38,0
6.36,-54.95,21.31,0
6.53,-54.03,21.34,0
6.66,-54.55,21.28,0
6.17,-48.87,21.62,0
6.44,-48.98,21.64,0
6.85,-53.74,21.36,0
6.13,-57.99,21.27,0
5.87,-58.09,21.24,0
5.75,-56.3,21.31,0
6.71,-54.27,21.35,0
6.92,-52.85,21.41,0
6.35,-52.02,21.52,0
6.28,-53.02,21.49,0
6.35,-54.62,21.47,0
6.91,-53.27,21.5,0
7.33,-49.19,21.62,0
7.12,-48.03,21.65,0
7.31,-47.03,21.67,0
7.77,-46.88,21.52,0
7.51,-48.64,21.46,0
6.9,-51.81,21.55,0
7.2,-53.24,21.52,0
7.67,-50.42,21.63,0
8.25,-51.43,21.49,0
8.28,-50.07,21.36,0
7.51,-51.17,21.32,0
8.11,-51.41,21.34,0
8.33,-51.42,21.13,0
9.05,-49.88,21.04,0
9.51,-49.61,21.07,0
9.82,-51.21,20.95,0
9.5,-51.56,20.87,0
9.39,-50.03,20.8,0
10.27,-49.08,20.7,0
9.26,-50.73,20.6,0
8.54,-50.32,20.59,0
9,-49.51,20.52,0
9.04,-48.99,20.54,0
8.94,-48.76,20.49,0
8.56,-49.15,20.48,0
8.62,-49.7,20.49,0
9.9,-48.83,20.45,0
9.69,-51.13,20.43,0
9.67,-53.37,20.43,0
9.53,-52.52,20.4,0
9.95,-53.04,20.41,0
9.53,-51.37,20.4,0
9.36,-50.62,20.38,0
9.72,-49.38,20.4,0
8.95,-50.04,20.4,0
9.06,-47.77,20.42,0
8.41,-44.82,20.5,0
8.38,-45.2,20.55,0
8.08,-43.22,20.57,0
7.52,-41.83,20.65,0
6.86,-48.87,20.69,0
6.03,-51.21,20.7,0
5.17,-52.81,20.71,0
4.25,-55.03,20.71,0
4.11,-53.02,20.7,0
4.38,-57.03,20.77,0
4.47,-53.06,20.79,0
4.92,-52.32,20.81,0
5.21,-56.2,20.82,0
5.79,-60.44,20.79,0
6.81,-62.6,20.78,0
7.45,-63.41,20.7,0
6.94,-63.81,20.68,0
7.2,-60.19,20.72,0
6.6,-60.59,20.81,0
6.79,-62.11,20.82,0
6.96,-63.67,20.72,0
7.3,-64.7,20.7,0
7.23,-65.07,20.77,0
7.34,-66.02,20.8,0
7.26,-61.02,20.84,0
7,-63.81,20.9,0
7.34,-66.63,20.88,0
7.12,-71.23,20.82,0
6.97,-77.25,20.82,0
6.02,-83.92,20.83,0
6.86,-78.34,21.1,0
7.19,-68.38,21.35,0
7.33,-68.55,21.26,0
7.39,-72.53,21.12,0
7.01,-70.13,21.13,0
6.94,-66.8,21.1,0
6.7,-71.55,21.1,0
6.54,-70.49,21.07,0
6.35,-70.46,21.1,0
6.01,-66.59,21.11,0
5.93,-71.36,21.2,0
5.7,-71.1,21.18,0
5.54,-73.19,21.2,0
5.69,-73.14,21.2,0
4.75,-75.97,21.18,0
5.04,-73.57,21.2,0
4.68,-72.27,21.29,0
4.15,-72.74,21.3,0
4.35,-72.59,21.3,0
4.05,-65.7,21.3,0
3.76,-75.17,21.3,0
4.14,-82.27,21.33,0
4.19,-75.09,21.4,0
3.85,-81.17,21.42,0
4.34,-84.37,21.48,0
4.68,-81.84,21.5,0
3.26,-81.51,21.58,0
3.2,-81.82,21.65,0
3.34,-81.9,21.84,0
3.18,-76.74,21.97,0
2.26,-101.5,22.11,0
1.8,-123.57,22.28,0
1.76,-98.36,22.33,0
2.54,-76.62,22.48,0
3.17,-69.26,22.39,0
3.54,-71.01,22.3,0
3.08,-64.5,22.34,0
2.7,-55.56,22.91,0
2.31,-65.2,22.69,0
2.35,-64.09,22.99,0
2.54,-63.51,23.11,0
2.7,-61.88,22.97,0
3.33,-59.1,23.05,0
4.43,-57.86,22.84,0
4.39,-58.62,22.61,0
5.1,-61.59,22.59,0
5.26,-64.44,22.49,0
6.47,-61.29,22.48,0
6.92,-57.57,22.47,0
6.75,-56.48,22.6,0
6.75,-57.25,22.61,0
6.54,-58.3,22.58,0
6.08,-57.18,22.73,0
6.13,-58.27,22.75,0
6.95,-58.68,22.64,0
6.49,-59.28,22.67,0
6.02,-60.23,22.71,0
6.05,-59.97,22.56,0
6.29,-63.02,22.49,0
5.91,-68.11,22.53,0
5.01,-71.9,22.7,0
4.61,-68.82,22.84,0
4.62,-59.05,23.14,0
4.97,-55.81,23.21,0
5.56,-48.68,23.48,0
4.71,-50.72,23.5,0
4.73,-51.75,23.47,0
4.5,-54.86,23.31,0
4.58,-50.84,23.56,0
4.72,-47.77,23.61,0
4.28,-43.86,23.63,0
3.81,-49.51,23.64,0
3.41,-49.38,23.83,0
3.83,-39.81,23.93,0
4.75,-45.75,23.57,0
4.74,-46.5,23.35,0
4.32,-46.1,23.49,0
4.63,-42.87,23.51,0
4.37,-44.16,23.53,0
3.55,-43.17,23.8,0
4.98,-35.06,23.81,0
5.95,-32.66,23.54,0
5.97,-42.97,23.74,0
6.6,-41.69,23.75,0
7.17,-38.11,23.63,0
7.08,-37.35,23.51,0
6.6,-34.93,23.35,0
6.63,-37.06,23.17,0
7.41,-34.89,23.21,0
7.24,-33.14,23.04,0
6.98,-35.13,22.91,0
6.55,-34.29,22.83,0
6.75,-33.71,22.64,0
6.83,-31.22,22.52,0
7.04,-29.13,22.41,0
6.55,-32.06,22.38,0
6.88,-31.33,22.31,0
7.49,-29.07,22.28,0
7.08,-30.38,22.15,0
7.01,-26.73,22.16,0
6.69,-34.24,22.05,0
6.52,-36.35,21.96,0
6.82,-32.17,22.01,0
6.51,-37.08,21.95,0
6.6,-37.28,21.92,0
6.57,-42.19,21.86,0
7.46,-38,21.8,0
7.55,-40.79,21.8,0
7.58,-43.15,21.78,0
6.44,-45.05,21.83,0
4.88,-46.39,21.92,0
4.42,-40.65,21.86,0
4.35,-39.88,21.81,0
5.01,-39.56,21.84,0
4.99,-38.15,21.81,0
5.19,-40.76,21.72,0
3.97,-45.51,21.69,0
4.26,-39.35,21.64,0
4.26,-42.25,21.66,0
3.84,-44.37,21.66,0
3.29,-42.85,21.63,0
3.3,-42.33,21.6,0
3.42,-39.34,21.6,0
3.28,-34.13,21.6,0
3.27,-23.97,21.6,0
3.52,-28.89,21.6,0
2.96,-30.04,21.6,0
3.18,-23.23,21.59,0
2.89,-25.38,21.64,0
3.29,-28.99,21.68,0
2.58,-24.74,21.66,0
2.8,-32.13,21.66,0
3.11,-26.38,21.66,0
2.62,-26.72,21.71,0
2.82,-26.42,21.71,0
2.46,-31.28,21.7,0
2.21,-38.59,21.74,0
1.73,-45.7,21.7,0
1.68,-46.57,21.7,0
1.55,-24.75,21.7,0
1.14,-7.12,21.7,0
1.3,-8.74,21.7,0
0.91,-10.1,21.7,0
1.64,-14,21.7,0
1.61,-16.68,21.69,0
1.61,-19.1,21.67,0
0.95,12.29,21.6,0
0.96,-23.92,21.79,0
1.52,-32.34,21.72,0
1.87,-37.47,21.7,0
2.49,-32.06,21.75,0
2.76,-32.44,21.89,0
2.47,-26.14,21.84,0
2.5,-39.04,21.81,0
2.81,-43.62,21.83,0
2.73,-45.03,21.77,0
2.62,-38.19,21.8,0
2.41,-41.63,21.8,0
2.31,-50.78,21.8,0
2.13,-61.09,21.79,0
1.64,-65.22,21.76,0
1.96,-65.71,21.7,0
2.19,-69.2,21.71,0
2.28,-62.95,21.68,0
2.32,-69.41,21.65,0
2.47,-75.56,21.73,0
3.08,-66.64,22,0
2.62,-74.3,22.15,0
2.74,-72.49,22.38,0
2.71,-68.78,22.56,0
2.76,-63.86,22.73,0
2.74,-59.08,23.04,0
2.44,-49.97,23.74,0
2.06,-47.09,24.29,0
1.69,-51.6,24.71,0
1.59,-54.93,24.68,0
1.7,-54.92,24.94,0
2.2,-39.96,24.99,0
2.35,-36.18,25.02,0
2.88,-26.76,24.97,0
3.3,-26.35,24.88,0
3.82,-29.23,24.79,0
3.18,-33.07,24.73,0
2.84,-33.41,24.98,0
2.83,-33.28,25.16,0
2.09,-43.49,25.54,0
2.43,-36.62,25.49,0
2.96,-24.09,25.4,0
3.79,-23.03,25.34,0
3.2,-22.14,25.47,0
3.26,-25.06,25.36,0
3.45,-22.88,25.3,0
3.59,-18.69,25.47,0
3.83,-17.88,25.39,0
4.23,-16.52,25.27,0
3.74,-8.61,25.03,0
3.97,-11.58,25.05,0
3.81,-11.32,25.03,0
3.38,-6.71,25.1,0
2.53,-5.25,25.38,0
2.3,-5.57,25.74,0
1.98,-5.15,26.08,0
1.85,-9.93,26.18,0
2.18,-14.58,25.98,0
2.4,-11.88,25.78,0
2.17,-4.62,25.81,0
2.7,-4.69,25.9,0
3.15,-7.19,25.55,0
3.64,-9.74,25.17,0
3.61,-9.88,24.88,0
2.96,-5.27,25.02,0
2.53,-7.41,25.29,0
3.52,-14.15,25.15,0
3.91,-13.2,25.1,0
4.04,-7.77,24.94,0
4.33,-6.21,24.88,0
4.77,-8.96,24.67,0
4.45,-13.24,24.72,0
4.95,-9.33,24.61,0
5.02,-5.8,24.63,0
3.74,1.09,25.08,0
4.4,-0.99,24.89,0
4,3.9,24.79,0
3.42,10.04,24.94,0
3.35,11.32,25.1,0
3.37,18.83,25.17,0
3.04,16.83,25.02,0
3.34,4.83,24.85,0
3.1,3.37,24.83,0
2.71,9.74,24.98,0
3.09,18.11,25.07,0
3.42,11.26,24.92,0
3.32,19.01,24.77,0
3.05,13.03,24.69,0
2.68,11.36,24.55,0
2.87,17.77,24.32,0
3.05,22.36,24.18,0
3.05,19.94,23.93,0
2.87,18.56,23.6,0
2.97,18.53,23.39,0
2.86,11.01,23.26,0
2.6,19.78,23.14,0
2.74,21.75,23.09,0
2.45,20.15,23,0
2.31,7.11,22.96,0
2.78,-2.64,22.92,0
3.42,-7.48,22.89,0
3.91,-5.94,22.8,0
4.43,-4.21,22.77,0
4.25,-3.38,22.79,0
4.84,-4.89,22.76,0
4.57,-4.27,22.76,0
4.55,-3.33,22.74,0
4.61,-4.05,22.79,0
4.4,-4.01,22.73,0
4.74,-7.32,22.7,0
5.17,-11.46,22.7,0
5.4,-11.8,22.65,0
5.36,-8.61,22.6,0
5.28,-9.45,22.6,0
5.04,-7,22.6,0
5.05,-8.3,22.54,0
3.91,-2.68,22.5,0
3.25,1.3,22.51,0
4.15,-5.28,22.5,0
3.92,-7.62,22.5,0
3.42,-3.97,22.5,0
3.62,-5.53,22.49,0
3.12,0.74,22.44,0
3.3,-0.53,22.44,0
2.81,-3.37,22.45,0
2.73,-4.21,22.39,0
3.28,-6.4,22.4,0
3.22,-11.93,22.34,0
2.28,-8.87,22.3,0
2.51,-6.77,22.3,0
2.81,-14.33,22.25,0
3.18,-17.33,22.3,0
2.71,-24.18,22.29,0
2.55,-28,22.22,0
2.89,-26.21,22.2,0
3.55,-25.95,22.2,0
3.24,-25.87,22.2,0
3.26,-25.01,22.2,0
3.17,-23.93,22.24,0
3.27,-24.63,22.23,0
3.43,-24.72,22.17,0
3.3,-27.52,22.15,0
3.12,-31.08,22.14,0
2.7,-36.85,22.2,0
3.28,-40.29,22.13,0
4.04,-40.84,22.08,0
4.42,-45.8,22.1,0
4.52,-43.08,22.12,0
4.29,-49.78,22.18,0
4.47,-49.75,22.18,0
4.4,-54.27,22.18,0
3.65,-55.03,22.18,0
3.72,-55.29,22.18,0
3.72,-61.4,22.24,0
3.81,-62.31,22.18,0
4.09,-61.57,22.16,0
4.52,-59.44,22.16,0
4.73,-60.63,22.13,0
4.8,-61.01,22.11,0
5.23,-58.61,22.11,0
5.16,-57.99,22.09,0
5.53,-59.44,22.09,0
5.65,-60.39,22.09,0
5.81,-59.13,22.11,0
5.61,-57.95,22.2,0
5.71,-58.04,22.41,0
5.31,-59.11,22.53,0
5.37,-60.06,22.63,0
4.75,-65.06,22.71,0
4.94,-68.08,22.79,0
5.26,-63.9,22.79,0
5.6,-64.25,22.81,0
5.89,-64.11,22.89,0
5.98,-59.72,23,0
5.74,-59.3,23.08,0
6.04,-59.62,23.09,0
5.89,-61.57,23.15,0
6.45,-57.59,23.18,0
6.15,-53.54,23.55,0
5.59,-56.48,23.54,0
5.27,-55.1,23.75,0
6.19,-55.03,23.57,0
6.7,-54.79,23.5,0
7.12,-53.37,23.65,0
7.83,-58.56,23.16,0
9.19,-57.46,23.16,0
9.65,-59.4,22.85,0
10.12,-60.71,22.85,0
9.89,-61.81,22.82,0
9.53,-61.91,22.77,0
9.97,-60.47,22.65,0
10.33,-60.04,22.65,0
10.06,-58.77,22.61,0
10.15,-59.12,22.57,0
10.8,-59.29,22.59,0
11.18,-57.56,22.54,0
11.21,-57.43,22.54,0
11.05,-57.85,22.6,0
10.76,-58.25,22.54,0
10.54,-57.7,22.56,0
10.33,-57.04,22.61,0
10.57,-57.05,22.59,0
11.39,-57.89,22.44,0
11.12,-58.33,22.51,0
10.81,-58.34,22.55,0
11.12,-58.34,22.47,0
10.61,-57.21,22.55,0
10.75,-56.42,22.57,0
10.32,-55.97,22.7,0
11.33,-56.44,22.66,0
12.04,-56.69,22.44,0
11.82,-57.27,22.42,0
11.89,-58.3,22.42,0
12.17,-57.67,22.35,0
12.01,-57.35,22.34,0
12.21,-57.54,22.41,0
12.43,-57.01,22.36,0
13.47,-57.29,22.24,0
13.79,-57.5,22.25,0
12.64,-56.97,22.34,0
12.01,-58.47,22.31,0
11.95,-58.33,22.26,0
11.59,-58.17,22.25,0
11.17,-58.61,22.22,0
11.65,-59.88,22.17,0
11.49,-60.3,22.15,0
11,-61.03,22.14,0
11.3,-59.87,22.13,0
11.4,-58.01,22.11,0
11.79,-56.68,22.1,0
11.3,-57.58,21.99,0
10.82,-57.33,21.93,0
11.52,-57.91,21.9,0
11.11,-58.15,21.86,0
10.84,-58.3,21.81,0
11.43,-57.31,21.73,0
11.64,-57.25,21.73,0
11.92,-57.75,21.73,0
12.62,-56.39,21.78,0
12.66,-54.79,21.8,0
13.05,-53.73,21.83,0
12.94,-55.52,21.85,0
12.83,-56.15,21.82,0
14.47,-55.75,21.76,0
14.09,-56.08,21.74,0
13.93,-55.79,21.69,0
14.51,-55.59,21.67,0
14.63,-55.41,21.67,0
14.35,-55.14,21.68,0
15.15,-55.34,21.7,0
14.77,-55.02,21.71,0
15.03,-57.15,21.64,0
15.01,-57.48,21.62,0
15.03,-59.1,21.62,0
15.09,-61.04,21.58,0
14.11,-59.36,21.61,0
13.4,-59.19,21.63,0
13.05,-58.56,21.65,0
13.14,-58.9,21.61,0
12.93,-60.02,21.66,0
13.51,-61.03,21.7,0
13.67,-60.14,21.72,0
12.8,-60.7,21.77,0
13.12,-61.2,21.74,0
13.47,-61.6,21.72,0
13.4,-61.61,21.76,0
12.93,-62.81,21.75,0
12.51,-62.8,21.78,0
13.02,-60.23,21.8,0
12.45,-61.33,21.79,0
12.9,-59.84,21.75,0
12.91,-60.17,21.71,0
13.14,-58.39,21.69,0
13.86,-58.35,21.68,0
13.58,-58.41,21.61,0
13.42,-60.39,21.58,0
13.83,-59.65,21.55,0
15.26,-60.5,21.48,0
15.48,-61.55,21.45,0
15.5,-62.17,21.45,0
16.05,-62.11,21.42,0
16.52,-61.74,21.37,0
16.46,-62.64,21.33,0
16.25,-62.2,21.31,0
16.58,-64.32,21.31,0
16.05,-62.81,21.33,0
14.8,-61.23,21.32,0
14.72,-60.57,21.3,0
14.67,-59.99,21.24,0
15.27,-59.95,21.2,0
15.84,-59.87,21.13,0
17.42,-61.37,21.08,0
17.47,-61.27,21.06,0
16.17,-61.27,21.05,0
16.81,-61.17,21.01,0
17.21,-61.24,20.98,0
17.08,-62,20.92,0
17.25,-62.19,20.9,0
17.09,-62.51,20.81,0
17.47,-62.66,20.81,0
18.21,-62.83,20.79,0
16.96,-61.45,20.8,0
17.25,-61.74,20.74,0
17.38,-62.57,20.68,0
16.58,-61.47,20.68,0
16.02,-61.56,20.69,0
16.78,-63.45,20.66,0
16.57,-65.04,20.68,0
15.32,-63.21,20.75,0
16.01,-63.45,20.74,0
16.09,-62.9,20.77,0
15.72,-61.6,20.81,0
16.79,-61.29,20.73,0
16.62,-61.69,20.7,0
16.9,-63.74,20.66,0
16.93,-64.18,20.72,0
17.04,-61.62,20.67,0
16.59,-61.78,20.68,0
15.18,-61.99,20.78,0
15.85,-62.45,20.79,0
16.91,-61.75,20.85,0
18,-60.83,20.91,0
18.98,-61.76,20.87,0
18.39,-63.06,20.86,0
18.27,-63.88,20.91,0
17.19,-64.58,20.88,0
16.39,-63.47,20.88,0
15.88,-63.51,20.86,0
14.99,-65.2,20.92,0
13.95,-66.37,20.97,0
13.35,-64.49,21.04,0
13.45,-62.83,21.07,0
12.93,-62.51,21,0
13.24,-63.82,20.99,0
13.51,-64.54,20.9,0
12.53,-67.41,20.85,0
12.39,-62.49,20.85,0
11.67,-64.2,20.82,0
12.08,-61.68,20.62,0
12.45,-61.38,20.59,0
12.5,-62.58,20.58,0
12.4,-65.49,20.51,0
11.99,-64.21,20.53,0
11.08,-64.81,20.58,0
12.42,-60.9,20.61,0
13.33,-61.75,20.57,0
12.75,-59.94,20.59,0
14.37,-59.71,20.44,0
14.5,-59.45,20.4,0
13.66,-60.03,20.45,0
12.31,-59.41,20.39,0
11.43,-63.02,20.31,0
11.77,-61.78,20.29,0
11.93,-60.01,20.62,0
11.25,-62.51,20.81,0
11.16,-62.24,20.89,0
11.13,-61.17,20.99,0
11.23,-61.27,20.98,0
10.98,-61.81,20.98,0
11.21,-60.84,20.99,0
11.59,-61.15,20.99,0
11.48,-60.12,20.98,0
12.3,-59.79,20.92,0
11.53,-57.98,20.92,0
11.8,-58.28,20.87,0
11.78,-59.62,20.85,0
11.99,-58.38,20.88,0
11.48,-60.49,20.97,0
10.68,-63.71,21.05,0
10.33,-66.75,21.08,0
10.29,-65.69,21.09,0
8.96,-66.41,21.15,0
9.34,-61.98,21.17,0
9.56,-63.75,21.14,0
10.2,-61.08,21.12,0
10.18,-60.75,21.12,0
10.01,-64.71,21.12,0
10.29,-63.68,21.08,0
10.82,-61.1,21.08,0
10.8,-61.49,21.01,0
10.55,-62.85,21.03,0
10.69,-62.28,21.02,0
11.12,-61.05,21.04,0
10.15,-62.51,21.06,0
10.61,-62.38,21.04,0
11.12,-59.29,21.11,0
10.66,-60,21.09,0
15.16,-52.5,21.8,0
15.49,-60.96,21.82,0
